sample_id	lane	flow_cell	fastq_path
curdlan_bm_gmp_R1	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545249_1.fastq.gz
curdlan_bm_gmp_R2	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545250_1.fastq.gz
curdlan_bm_gmp_R3	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545251_1.fastq.gz
curdlan_bm_lthsc_R2	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545253_1.fastq.gz
curdlan_bm_lthsc_R3	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545254_1.fastq.gz
curdlan_bm_sthsc_R1	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545258_1.fastq.gz
sscontrol_bm_gmp_R1	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545261_1.fastq.gz
sscontrol_bm_lthsc_R2	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545265_1.fastq.gz
sscontrol_bm_mpp_R2	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545268_1.fastq.gz
sscontrol_bm_mpp_R3	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545269_1.fastq.gz
sscontrol_bm_sthsc_R2	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545271_1.fastq.gz
curdlan_bm_mpp_R1	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545255_1.fastq.gz
curdlan_bm_mpp_R2	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545256_1.fastq.gz
curdlan_bm_mpp_R3	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545257_1.fastq.gz
curdlan_bm_sthsc_R3	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545260_1.fastq.gz
sscontrol_bm_mpp_R1	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545267_1.fastq.gz
sscontrol_bm_sthsc_R1	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545270_1.fastq.gz
sscontrol_bm_sthsc_R3	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545272_1.fastq.gz
curdlan_bm_lthsc_R1	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545252_1.fastq.gz
curdlan_bm_sthsc_R2	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545259_1.fastq.gz
sscontrol_bm_gmp_R2	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545262_1.fastq.gz
sscontrol_bm_gmp_R3	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545263_1.fastq.gz
sscontrol_bm_lthsc_R1	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545264_1.fastq.gz
sscontrol_bm_lthsc_R3	1	1	/well/kir/projects/mirror/ena/PRJNA521342/SRR8545266_1.fastq.gz
